,Location,new_reviews,Comp
933,Longwood,everything property pristine enjoy wyndham bonnet creek home away home staycation several year love blue harmony spa unrivale far -PRON- be concerned come spa 5 star around read read less,Positive
934,Hollister,really like room surround pool feel secure fence around property well furniture room really nice comfortable stay read read less,Positive
935,Miami,nice option stay san jose property staff friendly decent food downside stay housekeeping skipped room two day run first thanksgive late noon leave room figure staff anxious do get home holiday happen next day leave room issue read read less,Positive
936,NC,great location room ready even though arrive several hour check staff friendly restaurant hotel keep -PRON- brave bitter cold child arrangement parking garage across street fairly affordable nyc parking standard room be not uptodate clean everything work enjoy vintage feature besides go nyc spend time room explore city 1110 would definitely stay read read less,Positive
937,"Hamilton, ON, Canada",say go location location location initial draw hotel -PRON- do not disappoint amenity gravy new yorker locate right near penn station make explore rest manhattan breeze room quite small bit date do not go nyc spend lot time hotel room clean provide need warm shower place lie head full day walk sightseeing staff friendly accommodate gym building equip elliptical treadmill stationary bike free weight various machine shoulder press chest press lat pull quad extension etc -PRON- be plan stay read read less,Positive
938,mexico,atencion excelentehabitacion bien excepcion de cama muy incomoda por tener colchon vencido muy blando disparejo read read less,Neutral
939,London,enjoy stay hotel would definitely recommend hotel staff helpful polite room clean every dayvery good location roughly 10 minute walk times square read read less,Positive
940,"Santa Maria, California",everything great complimentary breakfast would nice read read less,Positive
941,Toronto,stay family two room last week strong cleaning odour room one room strong toxic fact burn eye front desk do not seem interested tell room hotel seem tired clean front desk check pleasant friendly read read less,Positive
942,"Redding, CA",nice clean beautiful lobby front desk staff nice hotel quiet room bert clean provide water room great stay stay read read less,Positive
943,Bananas,room much small get handicap room give -PRON- breathing room read read less,Neutral
944,Vancouver,look deceive hotel lobby nice clean room horrify feel like motel door open outside build hotel hallway cleanliness upgrade majorly lack hotel would recommend read read less,Neutral
945,Florida,like poolrestaurant staff pleasant room old date area room stay awful read read less,Neutral
946,"New York, NY",arrived location check room receive knock room local police state receive complaint noise come room ask police officer make complaint say someone call loud do not want come back room shock mention make noise late night someone make complaint do not quite understand summon come room check 1 hour ago spend time unpack prepare business meeting next day ask office lodge complaint arrive door detect load disturb noise reply someone complain do not want come back assure would come back room reason leave return inside room 1265 do not know think encounter call front desk ask complaint room night attendant check inaware complaint make require police say know incident require police intervention particular room ask could look get back check morning say ok would look far nothing read read less,Negative
